minimum_nights,review_scores_rating,id,neighbourhood_cleansed
30,87.0,505530,Bayview
3,91.0,515260,Noe Valley
30,96.0,515430,Noe Valley
30,97.0,515524,Haight Ashbury
3,97.0,516836,Potrero Hill
5,100.0,517803,Castro/Upper Market
31,99.0,519796,Russian Hill
3,95.0,522089,Mission
30,96.0,522273,Bayview
1,97.0,527226,Excelsior
2,100.0,530857,Excelsior
4,99.0,531151,Bernal Heights
30,89.0,533193,Excelsior
4,97.0,533627,Potrero Hill
30,97.0,545585,Nob Hill
1,96.0,545685,Outer Richmond
4,99.0,548232,Marina
4,97.0,555596,Noe Valley
5,100.0,560440,Mission
3,98.0,561148,Inner Richmond
4,100.0,561602,Bernal Heights
4,97.0,562311,Mission
2,99.0,562593,North Beach
2,97.0,567239,Noe Valley
2,98.0,568161,Outer Mission
4,100.0,571042,Haight Ashbury
4,100.0,575551,Potrero Hill
2,99.0,576018,Noe Valley
3,100.0,578097,Western Addition
2,97.0,580106,Haight Ashbury
3,95.0,581216,Marina
4,100.0,582335,Marina
2,95.0,585225,Noe Valley
1,95.0,585326,Outer Richmond
3,99.0,587375,Mission
5,96.0,589767,Nob Hill
3,100.0,591524,Bernal Heights
1,92.0,592883,Mission
30,83.0,593165,Haight Ashbury
2,98.0,593253,Western Addition
30,96.0,596042,Pacific Heights
3,96.0,598271,Potrero Hill
30,97.0,598579,Western Addition
30,100.0,602036,Haight Ashbury
5,98.0,602535,Noe Valley
31,100.0,604843,Mission
30,90.0,604999,Bernal Heights
3,97.0,607500,Haight Ashbury
7,92.0,616204,Chinatown
30,96.0,616517,South of Market
30,96.0,626349,South of Market
30,100.0,627358,Bernal Heights
30,95.0,631635,Noe Valley
3,96.0,631658,Potrero Hill
31,94.0,631735,Bayview
30,100.0,632303,Glen Park
30,95.0,633629,Outer Mission
1,96.0,635850,South of Market
1,97.0,640352,South of Market
3,99.0,640895,Castro/Upper Market
60,100.0,642672,Bernal Heights
30,95.0,643918,North Beach
1,99.0,647360,Lakeshore
3,96.0,648086,Bernal Heights
2,95.0,651624,Outer Mission
3,99.0,654279,Bayview
30,100.0,654860,Outer Richmond
30,100.0,655326,North Beach
31,100.0,657121,North Beach
9,100.0,662754,Mission
4,97.0,663623,Mission
2,93.0,664307,Mission
7,97.0,664315,Mission
3,99.0,677207,Castro/Upper Market
3,98.0,678556,Haight Ashbury
2,97.0,680288,Mission
30,86.0,687430,Excelsior
4,99.0,691023,Castro/Upper Market
4,97.0,699723,Potrero Hill
1,96.0,713877,Inner Sunset
30,100.0,715543,Mission
30,99.0,715754,Haight Ashbury
4,96.0,719431,West of Twin Peaks
3,95.0,720811,Inner Richmond
30,96.0,725300,Castro/Upper Market
4,96.0,726657,Mission
1,98.0,727866,Outer Sunset
30,95.0,727969,Noe Valley
30,97.0,728486,South of Market
3,98.0,728585,Noe Valley
30,97.0,728884,Noe Valley
30,92.0,730045,Noe Valley
5,98.0,732779,Outer Richmond
30,95.0,734801,Western Addition
30,99.0,734839,North Beach
2,100.0,738493,Potrero Hill
3,94.0,738547,Russian Hill
30,72.0,741327,Chinatown
1,97.0,746079,Castro/Upper Market
1,98.0,748222,Mission
1,98.0,748256,Mission
30,94.0,749744,Haight Ashbury
30,98.0,749990,Haight Ashbury
3,95.0,752607,Mission
30,99.0,754117,Haight Ashbury
30,96.0,758815,Marina
14,96.0,760794,Glen Park
7,97.0,765914,Mission
30,98.0,766516,Bernal Heights
2,96.0,767506,West of Twin Peaks
2,95.0,769734,Mission
3,98.0,770991,Noe Valley
2,97.0,774323,Mission
4,99.0,776239,Castro/Upper Market
4,95.0,778520,Mission
1,98.0,779109,Mission
30,99.0,783821,Castro/Upper Market
1,93.0,785901,Financial District
1,94.0,786492,Financial District
1,94.0,786506,Financial District
2,92.0,794626,Excelsior
3,99.0,795254,Western Addition
30,95.0,797887,Outer Mission
4,95.0,802559,Ocean View
4,99.0,806199,South of Market
30,93.0,808660,Western Addition
3,98.0,808919,Western Addition
30,99.0,810315,Marina
30,94.0,811374,Russian Hill
30,95.0,815183,Outer Mission
30,100.0,819856,Financial District
1,87.0,819863,Inner Sunset
4,100.0,829185,Mission
3,93.0,830330,Bernal Heights
30,76.0,830997,South of Market
30,88.0,833149,Inner Sunset
2,94.0,837045,Western Addition
30,99.0,840986,Bernal Heights
3,89.0,845480,Crocker Amazon
3,88.0,845501,Crocker Amazon
5,93.0,845502,Western Addition
3,89.0,848578,Crocker Amazon
3,99.0,851889,South of Market
1,100.0,856123,Mission
31,97.0,859310,Mission
2,97.0,859336,Haight Ashbury
30,96.0,862201,Potrero Hill
30,100.0,863987,Western Addition
30,96.0,865873,Mission
4,100.0,867499,Mission
30,96.0,867530,Bernal Heights
5,99.0,867555,Mission
30,97.0,870532,Castro/Upper Market
3,97.0,870705,Bernal Heights
30,73.0,872206,Mission
2,95.0,873705,Western Addition
30,97.0,878935,Inner Sunset
3,93.0,881105,Marina
4,97.0,883937,Bernal Heights
1,96.0,884770,Russian Hill
2,91.0,890875,Western Addition
4,100.0,893720,Marina
30,92.0,899499,Potrero Hill
30,96.0,900393,Potrero Hill
90,98.0,900941,Castro/Upper Market
30,100.0,902435,South of Market
5,97.0,905399,Mission
30,92.0,905902,Golden Gate Park
4,100.0,909063,Mission
30,98.0,911029,Haight Ashbury
2,99.0,915058,Bernal Heights
1,99.0,918341,Potrero Hill
30,90.0,923807,Western Addition
5,95.0,929468,Castro/Upper Market
30,92.0,930955,Haight Ashbury
30,84.0,931313,Mission
5,100.0,932481,Pacific Heights
30,95.0,934012,Inner Richmond
2,97.0,936209,Mission
1,95.0,937842,Mission
30,94.0,938330,Western Addition
30,100.0,943851,Mission
2,97.0,945748,Presidio Heights
30,98.0,950094,Bayview
30,78.0,955071,Haight Ashbury
31,97.0,958507,South of Market
30,96.0,961900,South of Market
30,95.0,964751,Inner Richmond
3,99.0,964952,Western Addition
2,95.0,968046,Excelsior
30,99.0,968308,South of Market
1,97.0,968852,Western Addition
30,92.0,971069,Russian Hill
2,99.0,971116,Western Addition
30,100.0,975482,Haight Ashbury
30,99.0,980783,Potrero Hill
3,93.0,982298,Outer Sunset
30,87.0,983739,Castro/Upper Market
4,98.0,991765,Mission
1,97.0,992676,Glen Park
2,84.0,992913,North Beach
1,89.0,997382,Haight Ashbury
3,99.0,998701,Outer Sunset
4,94.0,1001415,Noe Valley
30,97.0,1001759,Castro/Upper Market
3,98.0,1003756,Potrero Hill
2,97.0,1005642,Mission
30,92.0,1007157,Nob Hill
2,93.0,1011751,West of Twin Peaks
30,95.0,1015336,Marina
4,95.0,1016604,Inner Richmond
1,93.0,1017799,Inner Sunset
1,92.0,1023586,Inner Sunset
3,99.0,1029621,Western Addition
30,95.0,1030352,Mission
30,100.0,1031899,Noe Valley
1,98.0,1033754,Outer Sunset
2,98.0,1036860,Russian Hill
30,86.0,1037251,Bernal Heights
1,99.0,1043282,Castro/Upper Market
31,97.0,1053666,Mission
2,97.0,1056844,Financial District
58,99.0,1059961,South of Market
1,95.0,1069167,Bayview
2,98.0,1076743,Russian Hill
2,94.0,1077444,Outer Richmond
1,99.0,1080408,Castro/Upper Market
1,98.0,1080980,South of Market
1,97.0,1083810,Noe Valley
7,80.0,1087427,Outer Sunset
30,96.0,1094207,Mission
3,100.0,1098003,Western Addition
2,99.0,1103797,Western Addition
30,95.0,1104362,Castro/Upper Market
2,89.0,1104912,Outer Richmond
30,95.0,1106534,Noe Valley
2,98.0,1107014,Castro/Upper Market
2,100.0,1109534,Pacific Heights
30,98.0,1110001,Noe Valley
2,100.0,1110346,Nob Hill
30,95.0,1110787,Pacific Heights
30,96.0,1121697,Western Addition
2,99.0,1123125,Potrero Hill
2,94.0,1125079,West of Twin Peaks
2,95.0,1125115,West of Twin Peaks
30,78.0,1130628,Haight Ashbury
2,97.0,1133372,Glen Park
3,94.0,1135632,Mission
30,96.0,1138420,Pacific Heights
1,100.0,1138764,Financial District
7,91.0,1142101,Outer Sunset
3,98.0,1148625,Haight Ashbury
30,100.0,1151109,Marina
30,93.0,1159284,North Beach
30,94.0,1162640,Outer Mission
2,99.0,1171918,South of Market
2,97.0,1174214,Marina
30,96.0,1174537,North Beach
30,100.0,1174758,North Beach
