reviews_per_month,review_scores_rating,id
0.1,93.0,1438286
1.04,97.0,1438864
0.28,100.0,1442027
0.38,100.0,1450899
0.17,89.0,1454220
0.78,95.0,1456153
0.7,99.0,1460174
2.8,86.0,1460628
0.07,100.0,1466344
0.36,97.0,1467857
4.34,98.0,1470340
5.53,98.0,1471683
1.31,97.0,1474209
4.7,98.0,1478708
0.62,93.0,1479666
2.59,99.0,1480015
0.64,98.0,1482273
1.67,96.0,1482730
0.86,95.0,1483853
1.99,99.0,1484792
4.25,92.0,1487849
1.21,99.0,1489175
0.55,92.0,1489782
0.35,97.0,1494771
0.36,92.0,1496833
0.99,97.0,1498953
0.34,98.0,1499630
0.2,97.0,1499843
0.35,99.0,1504826
1.54,97.0,1506702
3.74,99.0,1510363
4.76,100.0,1511076
0.46,98.0,1520790
2.3,93.0,1520929
0.76,97.0,1520938
0.76,99.0,1524346
2.63,96.0,1525137
1.84,100.0,1525886
0.34,98.0,1530745
1.36,94.0,1531273
0.09,89.0,1534021
1.06,98.0,1535946
0.54,96.0,1537497
0.43,97.0,1547477
2.1,97.0,1550913
5.69,94.0,1556680
0.92,93.0,1569288
5.86,94.0,1578597
0.1,100.0,1579304
1.69,98.0,1584021
1.17,95.0,1587410
0.55,100.0,1588695
0.13,98.0,1589228
0.45,99.0,1598872
1.14,98.0,1598886
2.16,94.0,1605483
0.6,93.0,1606292
0.73,96.0,1614453
1.03,99.0,1614622
4.02,97.0,1615088
1.74,95.0,1615158
0.68,100.0,1618782
0.91,95.0,1620039
2.03,96.0,1620411
3.17,98.0,1623609
0.65,98.0,1624068
0.59,95.0,1627259
0.5,96.0,1627455
0.36,98.0,1629330
0.73,98.0,1629740
1.46,94.0,1633126
4.89,80.0,1633173
1.67,89.0,1633225
1.4,95.0,1633839
1.22,99.0,1633933
1.05,97.0,1641060
0.11,88.0,1645724
0.87,100.0,1651228
1.45,94.0,1655446
0.01,86.0,1657512
3.34,98.0,1665516
0.32,99.0,1667732
2.65,99.0,1671260
2.01,99.0,1673011
0.05,80.0,1676460
0.6,98.0,1684346
0.98,98.0,1687330
1.12,88.0,1696383
1.7,91.0,1696666
2.71,96.0,1699390
0.31,100.0,1711075
0.37,100.0,1721354
3.72,98.0,1724819
0.37,93.0,1725833
4.8,96.0,1725853
0.1,88.0,1728497
0.31,100.0,1733056
6.54,98.0,1738415
1.38,96.0,1740537
2.55,99.0,1743201
0.33,96.0,1747531
2.06,97.0,1750093
5.98,99.0,1752371
2.93,96.0,1759087
2.83,93.0,1767543
1.75,98.0,1767569
0.49,99.0,1768239
3.23,99.0,1769688
1.38,93.0,1774026
0.24,94.0,1777429
6.68,94.0,1778650
2.78,95.0,1785463
0.47,100.0,1807012
1.39,93.0,1807493
1.28,92.0,1810486
0.19,100.0,1814061
3.68,98.0,1815551
0.25,100.0,1821543
3.15,96.0,1827177
0.01,100.0,1827638
2.74,99.0,1827653
0.31,98.0,1828443
4.02,98.0,1830541
2.6,95.0,1841832
0.11,98.0,1844117
1.34,98.0,1844877
1.57,96.0,1847664
4.44,99.0,1855096
0.93,94.0,1857226
0.24,100.0,1861344
1.55,93.0,1863106
0.93,93.0,1863316
1.95,96.0,1864390
0.05,93.0,1864545
0.44,85.0,1865406
1.09,98.0,1868880
0.06,100.0,1869845
2.85,100.0,1881223
0.09,88.0,1885057
0.66,97.0,1886260
0.22,94.0,1887206
1.39,99.0,1898486
0.35,100.0,1906323
0.29,97.0,1906681
2.12,95.0,1907229
0.28,100.0,1909613
1.62,94.0,1914841
4.44,97.0,1919372
8.36,97.0,1920033
3.7,97.0,1925206
0.58,97.0,1925714
2.92,96.0,1926253
0.88,99.0,1931459
2.57,92.0,1931763
1.99,98.0,1931788
2.02,99.0,1932019
0.11,97.0,1935904
0.26,95.0,1937575
2.44,100.0,1940496
0.31,98.0,1944306
3.12,99.0,1944564
1.16,99.0,1945508
0.27,95.0,1954263
1.19,95.0,1954514
2.03,96.0,1959880
0.05,100.0,1960773
0.98,99.0,1970257
0.34,88.0,1970756
1.71,98.0,1975404
0.14,98.0,1978669
0.29,100.0,1979461
4.07,98.0,1984709
2.55,97.0,1985338
4.01,98.0,1989997
4.78,98.0,1992217
0.06,90.0,1992988
6.57,99.0,1995487
5.21,95.0,1998111
0.1,96.0,2001534
0.36,93.0,2007101
0.35,84.0,2011311
4.49,94.0,2016198
0.65,96.0,2020393
0.32,100.0,2022751
0.06,100.0,2023326
2.03,99.0,2026910
4.09,98.0,2042095
5.15,96.0,2046634
2.11,89.0,2046807
5.33,94.0,2047469
0.35,96.0,2049672
2.51,98.0,2049955
1.13,96.0,2058119
1.81,98.0,2062696
0.28,98.0,2063077
0.38,96.0,2072098
0.19,93.0,2072133
0.46,90.0,2074270
2.45,95.0,2074584
0.79,96.0,2081536
5.04,95.0,2088622
0.71,94.0,2093695
0.68,99.0,2096756
0.8,95.0,2104437
1.33,96.0,2105840
1.32,98.0,2111361
4.34,96.0,2115503
5.12,96.0,2119773
2.81,96.0,2123469
1.54,97.0,2124182
3.23,95.0,2126868
0.28,98.0,2130640
5.52,98.0,2134475
2.12,92.0,2139562
0.38,97.0,2140313
0.28,99.0,2154122
4.44,97.0,2160504
2.03,95.0,2166428
0.88,98.0,2169208
1.56,96.0,2172308
1.98,98.0,2175930
0.7,99.0,2177440
5.75,98.0,2178509
0.02,80.0,2188233
0.08,100.0,2188308
0.03,100.0,2188507
0.42,96.0,2188561
0.07,92.0,2188959
3.61,94.0,2188976
0.42,98.0,2189514
0.14,92.0,2189814
0.51,91.0,2202505
4.96,96.0,2203283
0.03,80.0,2209353
4.71,99.0,2209751
0.13,100.0,2219978
2.11,98.0,2221057
2.51,92.0,2223743
0.38,99.0,2233416
0.18,88.0,2234256
1.29,94.0,2236226
0.59,99.0,2238488
1.37,89.0,2244652
0.64,98.0,2254431
0.76,89.0,2257205
4.29,99.0,2263794
2.62,95.0,2272343
3.54,96.0,2274353
1.57,98.0,2277754
0.2,100.0,2279254
0.79,99.0,2298930
0.36,94.0,2299196
0.79,97.0,2302408
1.43,97.0,2305039
0.06,90.0,2310518
0.3,99.0,2310765
0.48,100.0,2311428
0.1,97.0,2314849
4.47,98.0,2315086
1.86,95.0,2316478
0.43,97.0,2326228
0.04,100.0,2337552
4.03,98.0,2349483
1.18,98.0,2355859
3.71,96.0,2356554
1.02,97.0,2362619
0.34,87.0,2366182
0.17,100.0,2374267
0.25,98.0,2374361
