minimum_nights,review_scores_rating,id
1,88.0,4638678
3,97.0,4639434
2,97.0,4650391
110,96.0,4653332
13,98.0,4654218
30,93.0,4654737
1,96.0,4663060
3,98.0,4663132
30,85.0,4668872
1,93.0,4670847
30,100.0,4677343
3,100.0,4678599
2,97.0,4695477
1,99.0,4701489
30,98.0,4710280
2,99.0,4718531
2,94.0,4718629
30,93.0,4718898
30,100.0,4719139
1,95.0,4720512
1,88.0,4728615
30,97.0,4748287
4,95.0,4760192
3,98.0,4773944
1,97.0,4774742
2,90.0,4782281
2,98.0,4794816
30,99.0,4807817
30,100.0,4825026
2,98.0,4825217
3,100.0,4832436
2,99.0,4833101
4,100.0,4838843
2,98.0,4841027
30,90.0,4855194
2,96.0,4855686
30,100.0,4856290
30,100.0,4863182
90,90.0,4867594
1,98.0,4875549
2,91.0,4880695
30,93.0,4880988
4,98.0,4882295
1,95.0,4887475
1,91.0,4887587
2,96.0,4888308
1,94.0,4890230
1,88.0,4892016
30,93.0,4896087
1,95.0,4897143
30,97.0,4897595
1,90.0,4902063
1,94.0,4902365
1,95.0,4902444
1,90.0,4902565
1,91.0,4902729
1,90.0,4902855
1,89.0,4902907
30,95.0,4907924
1,91.0,4909117
2,97.0,4936887
1,93.0,4948327
1,91.0,4948340
60,96.0,4949779
2,92.0,4956697
3,99.0,4957143
2,92.0,4959980
1,95.0,4962043
30,92.0,4965866
14,97.0,4966389
1,100.0,4987668
3,98.0,4993804
1,90.0,5007358
1,99.0,5013816
30,96.0,5019863
30,87.0,5025420
30,89.0,5027016
30,99.0,5031525
30,95.0,5031660
30,89.0,5039206
31,95.0,5045601
3,100.0,5068486
1,92.0,5070945
1,90.0,5070973
30,90.0,5076251
85,100.0,5086367
2,98.0,5094146
2,100.0,5114942
30,95.0,5117701
5,99.0,5126076
30,98.0,5144482
2,99.0,5151423
3,99.0,5154227
30,83.0,5154242
1,98.0,5154367
2,94.0,5162669
30,100.0,5172959
2,95.0,5173043
2,98.0,5174935
4,96.0,5194736
30,85.0,5195922
30,90.0,5196070
30,91.0,5196116
2,99.0,5196142
30,90.0,5196233
2,96.0,5196399
30,100.0,5212418
120,100.0,5212469
2,93.0,5217164
5,96.0,5222044
2,98.0,5242394
30,100.0,5253001
30,96.0,5253439
1,93.0,5272750
2,98.0,5286047
30,30.0,5286782
2,97.0,5299461
30,93.0,5299538
30,98.0,5309546
1,98.0,5317789
2,97.0,5319588
30,95.0,5320351
