price,guests_included,review_scores_rating,id
$85.00,2,97.0,83553
$85.00,1,95.0,84777
$115.00,1,99.0,87640
$201.00,4,95.0,91957
$59.00,1,94.0,96383
$185.00,3,96.0,99094
$450.00,4,100.0,100710
$30.00,1,97.0,102951
$85.00,1,80.0,105497
$130.00,2,99.0,106025
$125.00,2,94.0,109883
$120.00,2,94.0,110825
$125.00,1,97.0,114401
$125.00,2,98.0,115242
$200.00,2,99.0,121065
$150.00,5,97.0,126046
$328.00,2,99.0,128230
$65.00,1,87.0,130775
$97.00,2,98.0,130805
$69.00,1,96.0,132441
$300.00,4,97.0,134015
$550.00,6,94.0,134193
$102.00,2,98.0,137546
$150.00,1,96.0,137672
$1200.00,6,98.0,138592
$150.00,2,93.0,138619
$150.00,2,99.0,138772
$90.00,1,97.0,140568
$399.00,4,98.0,142177
$56.00,1,94.0,144978
$230.00,4,92.0,147443
$275.00,1,99.0,148559
$165.00,2,85.0,148627
$115.00,2,89.0,148769
$148.00,4,94.0,150347
$75.00,1,99.0,150848
$85.00,1,95.0,162934
$69.00,1,97.0,164207
$220.00,2,96.0,166199
$185.00,2,97.0,166771
$110.00,2,87.0,175090
$135.00,2,94.0,175102
$36.00,1,83.0,176274
$135.00,1,97.0,177137
$100.00,1,93.0,180233
$220.00,3,97.0,183859
$75.00,1,96.0,187730
$90.00,1,98.0,189068
$150.00,1,98.0,189894
$138.00,2,97.0,191632
$80.00,1,99.0,199480
$182.00,1,100.0,201313
$136.00,4,97.0,201579
$30.00,1,100.0,206566
$30.00,1,97.0,206634
$30.00,1,80.0,206637
$295.00,6,96.0,207980
$79.00,1,96.0,208727
$165.00,2,96.0,208831
$92.00,1,93.0,209514
$178.00,1,100.0,212265
$98.00,2,91.0,212783
$78.00,1,89.0,213532
$325.00,4,96.0,213854
$147.00,1,99.0,216042
$75.00,1,97.0,216064
$95.00,2,93.0,217106
$78.00,1,89.0,220418
$139.00,1,95.0,221342
$145.00,2,98.0,224579
$99.00,2,96.0,225933
$45.00,1,93.0,229240
$135.00,2,97.0,229319
$989.00,8,88.0,231129
$175.00,2,99.0,231752
$99.00,2,98.0,232060
$99.00,1,96.0,238190
$135.00,2,95.0,238204
