host_is_superhost,review_scores_rating,id
t,98.0,2503408
t,92.0,2509236
f,90.0,2510224
f,90.0,2516026
t,98.0,2518781
t,88.0,2521327
f,82.0,2532756
t,96.0,2538807
t,97.0,2539953
f,92.0,2550991
f,97.0,2551994
t,99.0,2557977
t,88.0,2559297
f,86.0,2564006
f,87.0,2564140
t,98.0,2578122
t,98.0,2592518
f,94.0,2611820
f,94.0,2614717
t,98.0,2620371
f,95.0,2629833
f,96.0,2635278
f,80.0,2636716
f,97.0,2645189
f,88.0,2657854
f,100.0,2658295
f,99.0,2665028
t,98.0,2670951
t,98.0,2677273
t,98.0,2677288
f,86.0,2683409
f,95.0,2683857
t,98.0,2686530
t,96.0,2694526
t,98.0,2706776
f,99.0,2707422
f,95.0,2710372
f,99.0,2723005
t,96.0,2736358
t,97.0,2737894
t,93.0,2738331
t,98.0,2739477
f,94.0,2742151
t,96.0,2747383
t,94.0,2770268
t,94.0,2770561
t,97.0,2771128
t,92.0,2771688
t,97.0,2783251
f,100.0,2790637
f,95.0,2802418
f,95.0,2802480
t,99.0,2804417
f,100.0,2816626
t,96.0,2823227
f,94.0,2825966
f,95.0,2890120
f,96.0,2893920
f,98.0,2904128
t,97.0,2925557
t,98.0,2926901
t,99.0,2927781
t,98.0,2933105
t,98.0,2933899
t,97.0,2935400
t,100.0,2937902
t,99.0,2939849
t,98.0,2942149
t,95.0,2943327
f,98.0,2944266
t,97.0,2944843
t,99.0,2948159
f,93.0,2949071
t,100.0,2950592
t,98.0,2956406
t,92.0,2959323
t,98.0,2960229
t,98.0,2965433
t,98.0,2968738
t,100.0,2970253
f,90.0,2980184
t,98.0,2984463
f,97.0,2994606
t,98.0,3013427
t,87.0,3013520
t,97.0,3015450
f,99.0,3028924
t,98.0,3029597
f,95.0,3030653
f,100.0,3042811
t,94.0,3043102
t,100.0,3053443
f,60.0,3068285
f,98.0,3073038
f,95.0,3079665
t,99.0,3079929
t,94.0,3081324
t,100.0,3081560
t,97.0,3082327
f,100.0,3084671
t,95.0,3093070
t,97.0,3093543
f,100.0,3102139
t,96.0,3105361
f,99.0,3105998
f,97.0,3112427
t,94.0,3114387
t,100.0,3115424
t,96.0,3116428
f,99.0,3116974
t,99.0,3122882
t,98.0,3123536
t,99.0,3124541
t,98.0,3133266
f,80.0,3140113
f,99.0,3157463
t,96.0,3157541
t,96.0,3168359
f,100.0,3175769
f,96.0,3182798
f,99.0,3183280
t,96.0,3200431
t,98.0,3201044
t,96.0,3205059
t,98.0,3218306
f,96.0,3221082
f,90.0,3225725
f,93.0,3230459
t,97.0,3240016
t,100.0,3246879
t,98.0,3250486
f,87.0,3256704
t,95.0,3257886
f,95.0,3257979
t,97.0,3261876
f,100.0,3262216
t,99.0,3263219
f,98.0,3271517
f,100.0,3280443
t,97.0,3290739
f,99.0,3292643
t,98.0,3309722
t,98.0,3311711
t,97.0,3312490
f,95.0,3319159
t,97.0,3319447
t,97.0,3325741
f,100.0,3326640
t,100.0,3333870
t,98.0,3333937
t,92.0,3343629
f,91.0,3354004
f,90.0,3354928
t,100.0,3355334
t,97.0,3376512
t,96.0,3376895
t,98.0,3377936
t,96.0,3384413
f,93.0,3385880
t,97.0,3391368
f,98.0,3394127
f,100.0,3395051
f,98.0,3402610
f,94.0,3415171
t,99.0,3416013
t,99.0,3433930
t,99.0,3441517
f,99.0,3441949
t,99.0,3442439
t,100.0,3469254
f,85.0,3475515
f,100.0,3476601
f,95.0,3479568
t,93.0,3482655
t,97.0,3486460
f,97.0,3505185
t,98.0,3506164
f,98.0,3519611
f,97.0,3520817
t,98.0,3522990
f,90.0,3532347
t,98.0,3534282
t,99.0,3549398
t,94.0,3563261
f,96.0,3565068
f,100.0,3585034
f,100.0,3591813
f,98.0,3594786
f,90.0,3611131
f,89.0,3612236
t,100.0,3613500
f,100.0,3630122
f,84.0,3655811
t,96.0,3656251
f,94.0,3664261
f,86.0,3664693
f,97.0,3672198
f,92.0,3689368
t,98.0,3697738
t,98.0,3712976
t,98.0,3716504
t,97.0,3718865
t,98.0,3719923
t,99.0,3720392
t,99.0,3721927
f,98.0,3727061
f,95.0,3743219
f,99.0,3757966
t,94.0,3759246
t,97.0,3759368
t,98.0,3761446
t,99.0,3767907
f,94.0,3775090
t,98.0,3780418
f,93.0,3791003
t,97.0,3792754
t,99.0,3793678
f,96.0,3793831
t,94.0,3808193
t,97.0,3811916
t,99.0,3812931
t,96.0,3832296
f,96.0,3844037
t,99.0,3852803
f,100.0,3862478
t,98.0,3870174
t,99.0,3877462
t,96.0,3883252
t,96.0,3889219
t,94.0,3890704
f,93.0,3895335
f,99.0,3895951
f,94.0,3924524
f,84.0,3944915
t,97.0,3946571
t,97.0,3962831
t,97.0,3994686
t,97.0,4013746
f,100.0,4014209
f,60.0,4015985
f,91.0,4022209
f,90.0,4022990
t,92.0,4023249
f,91.0,4023585
f,98.0,4024236
f,92.0,4026354
t,100.0,4033038
f,100.0,4037590
t,99.0,4052091
f,89.0,4059549
f,97.0,4069838
t,99.0,4069917
f,98.0,4074316
f,98.0,4075971
f,94.0,4077186
f,100.0,4093013
t,99.0,4093807
t,98.0,4093967
t,98.0,4097700
t,95.0,4100473
t,97.0,4104344
t,98.0,4105892
t,98.0,4105958
f,94.0,4106442
f,91.0,4110344
f,94.0,4121114
t,96.0,4121691
t,99.0,4122671
t,98.0,4135201
f,89.0,4145563
f,99.0,4157192
t,97.0,4157431
t,100.0,4175174
f,96.0,4175303
t,100.0,4183088
t,99.0,4184406
f,94.0,4191242
f,98.0,4199015
t,96.0,4215907
t,95.0,4227441
f,95.0,4242823
t,99.0,4243837
f,100.0,4250927
t,99.0,4252808
t,97.0,4257302
f,87.0,4259418
t,98.0,4269254
t,100.0,4277696
f,92.0,4280408
t,94.0,4287481
t,99.0,4305042
f,100.0,4319230
f,99.0,4321720
t,98.0,4330861
f,100.0,4358868
f,91.0,4359078
t,97.0,4359626
t,99.0,4365969
f,94.0,4372435
t,99.0,4387067
f,100.0,4392441
t,99.0,4402199
f,89.0,4416566
f,91.0,4417901
t,98.0,4418649
f,100.0,4422501
t,99.0,4429475
t,97.0,4429527
f,93.0,4430996
t,99.0,4439461
t,98.0,4445540
f,90.0,4446003
f,87.0,4461197
f,93.0,4462326
f,92.0,4463165
f,94.0,4463263
f,92.0,4464347
t,96.0,4470873
f,95.0,4471474
t,88.0,4476390
f,100.0,4483550
t,96.0,4493744
f,92.0,4500244
f,88.0,4510968
t,97.0,4517932
f,94.0,4518031
f,94.0,4519757
f,94.0,4519780
t,95.0,4526608
t,98.0,4527553
f,100.0,4531215
t,99.0,4532551
t,99.0,4533440
f,98.0,4533652
f,98.0,4549330
f,97.0,4549485
t,97.0,4550843
t,99.0,4558898
f,97.0,4575906
f,85.0,4576349
t,95.0,4577224
t,100.0,4597675
f,99.0,4603953
t,98.0,4607177
t,98.0,4607282
t,99.0,4614763
f,93.0,4616040
t,97.0,4616596
t,98.0,4617719
t,93.0,4621762
t,98.0,4624467
f,87.0,4631873
f,91.0,4632133
t,100.0,4638176
f,99.0,4638266
f,88.0,4638678
t,97.0,4639434
f,97.0,4650391
f,96.0,4653332
t,98.0,4654218
t,93.0,4654737
t,96.0,4663060
t,98.0,4663132
f,85.0,4668872
f,93.0,4670847
t,100.0,4677343
f,100.0,4678599
t,97.0,4695477
t,99.0,4701489
t,98.0,4710280
