minimum_nights,review_scores_rating,id,neighbourhood
2,97.0,256176,Richmond District
2,88.0,258873,Telegraph Hill
1,92.0,259621,Financial District
1,94.0,259622,Financial District
30,90.0,259919,Cole Valley
30,80.0,261358,Tenderloin
2,95.0,269371,The Castro
2,95.0,269463,Cole Valley
30,98.0,271602,SoMa
30,91.0,271647,Outer Sunset
4,98.0,273530,Potrero Hill
3,95.0,274334,Outer Sunset
2,97.0,276072,Mission District
3,97.0,277339,Mission Terrace
3,97.0,279184,Mission District
1,94.0,280549,Sunnyside
30,88.0,280673,Noe Valley
30,95.0,284117,Noe Valley
3,100.0,284766,Cow Hollow
30,100.0,285499,The Castro
4,96.0,286311,The Castro
3,98.0,287907,Glen Park
2,98.0,288213,Dogpatch
30,82.0,292723,Excelsior
2,98.0,295240,The Castro
30,96.0,295565,Excelsior
3,96.0,297897,Outer Sunset
7,97.0,307837,Noe Valley
30,89.0,308885,Telegraph Hill
7,97.0,314248,Pacific Heights
1,99.0,314368,Telegraph Hill
30,94.0,317121,Haight-Ashbury
2,97.0,323635,Excelsior
3,97.0,325478,Mission District
30,94.0,326650,Western Addition/NOPA
30,100.0,329020,South Beach
30,94.0,330535,Haight-Ashbury
3,99.0,330736,Potrero Hill
3,98.0,334339,The Castro
60,98.0,334886,Marina
30,100.0,338849,Western Addition/NOPA
4,100.0,342420,The Castro
1,98.0,344621,Sunnyside
1,93.0,345760,The Castro
3,93.0,348580,Bernal Heights
3,96.0,348714,Western Addition/NOPA
2,99.0,350391,Noe Valley
30,96.0,350479,Mission District
2,97.0,351881,The Castro
30,69.0,351950,Excelsior
30,83.0,351978,Excelsior
2,90.0,352165,The Castro
4,100.0,353292,Duboce Triangle
30,96.0,361230,The Castro
2,97.0,364397,The Castro
3,95.0,374997,The Castro
3,90.0,377569,Mission District
5,98.0,379255,Haight-Ashbury
3,93.0,379349,Haight-Ashbury
4,96.0,379418,Bernal Heights
3,97.0,381217,Bernal Heights
4,97.0,392543,Potrero Hill
6,96.0,394575,Bernal Heights
2,100.0,400433,Mission District
2,96.0,408471,The Castro
3,98.0,409549,Bernal Heights
30,100.0,413663,Noe Valley
30,96.0,415498,Pacific Heights
4,97.0,420160,Potrero Hill
3,96.0,423063,Lower Haight
30,95.0,423300,Mission District
2,99.0,424846,Richmond District
31,97.0,430692,Mission District
3,89.0,431632,Richmond District
30,95.0,431862,Tenderloin
30,96.0,435389,Chinatown
30,100.0,435390,Chinatown
30,94.0,435391,Chinatown
2,99.0,437385,Richmond District
2,95.0,438940,The Castro
1,97.0,438967,The Castro
1,90.0,439703,The Castro
30,98.0,442349,Hayes Valley
4,99.0,442397,Outer Sunset
30,100.0,444675,Glen Park
30,87.0,450992,Western Addition/NOPA
30,89.0,455783,Outer Sunset
1,97.0,456568,Hayes Valley
3,93.0,457862,Western Addition/NOPA
6,100.0,457986,Excelsior
30,100.0,459990,Russian Hill
2,97.0,465723,Parkside
3,99.0,467507,Bernal Heights
1,92.0,468490,Russian Hill
3,94.0,468751,Mission District
1,98.0,470686,Mission District
31,98.0,472901,SoMa
30,100.0,474001,Chinatown
2,97.0,474107,Excelsior
1,94.0,479072,The Castro
3,95.0,479415,Bernal Heights
2,96.0,482592,Glen Park
2,94.0,485286,Bernal Heights
4,89.0,487019,Potrero Hill
30,96.0,487499,Mission District
3,98.0,488297,The Castro
3,96.0,491867,Lower Haight
3,98.0,491874,Lower Haight
4,97.0,493889,Mission Terrace
3,92.0,494111,Richmond District
30,94.0,496226,Potrero Hill
3,96.0,499096,Mission District
3,97.0,501057,Mission District
30,97.0,501770,Lower Haight
30,99.0,503362,Haight-Ashbury
2,98.0,504146,Marina
30,87.0,505530,Bernal Heights
3,91.0,515260,Noe Valley
30,96.0,515430,Noe Valley
30,97.0,515524,Haight-Ashbury
3,97.0,516836,Potrero Hill
5,100.0,517803,Haight-Ashbury
31,99.0,519796,Russian Hill
3,95.0,522089,Mission District
30,96.0,522273,Bayview
1,97.0,527226,Excelsior
2,100.0,530857,Excelsior
4,99.0,531151,Bernal Heights
30,89.0,533193,Excelsior
4,97.0,533627,Potrero Hill
30,97.0,545585,Nob Hill
1,96.0,545685,Richmond District
4,99.0,548232,Cow Hollow
4,97.0,555596,Noe Valley
5,100.0,560440,Mission District
3,98.0,561148,Richmond District
4,100.0,561602,Bernal Heights
4,97.0,562311,Mission District
2,99.0,562593,Telegraph Hill
2,97.0,567239,Noe Valley
2,98.0,568161,Glen Park
4,100.0,571042,Haight-Ashbury
4,100.0,575551,Potrero Hill
2,99.0,576018,Noe Valley
3,100.0,578097,Lower Haight
2,97.0,580106,Western Addition/NOPA
3,95.0,581216,Marina
4,100.0,582335,Marina
2,95.0,585225,Noe Valley
1,95.0,585326,Richmond District
3,99.0,587375,Mission District
5,96.0,589767,Nob Hill
3,100.0,591524,Bernal Heights
1,92.0,592883,Mission District
30,83.0,593165,Cole Valley
2,98.0,593253,Lower Haight
30,96.0,596042,Pacific Heights
3,96.0,598271,Potrero Hill
30,97.0,598579,Western Addition/NOPA
30,100.0,602036,Western Addition/NOPA
5,98.0,602535,Noe Valley
31,100.0,604843,Mission District
30,90.0,604999,Bernal Heights
3,97.0,607500,Cole Valley
7,92.0,616204,Chinatown
30,96.0,616517,SoMa
30,96.0,626349,SoMa
30,100.0,627358,Bernal Heights
30,95.0,631635,The Castro
3,96.0,631658,Potrero Hill
31,94.0,631735,Bayview
30,100.0,632303,Glen Park
30,95.0,633629,Sunnyside
1,96.0,635850,SoMa
1,97.0,640352,SoMa
3,99.0,640895,Mission District
60,100.0,642672,Noe Valley
30,95.0,643918,Telegraph Hill
1,99.0,647360,Lakeshore
3,96.0,648086,Bernal Heights
2,95.0,651624,Glen Park
3,99.0,654279,Bayview
30,100.0,654860,Richmond District
30,100.0,655326,Telegraph Hill
31,100.0,657121,North Beach
9,100.0,662754,Mission District
4,97.0,663623,Mission District
2,93.0,664307,Mission District
7,97.0,664315,Mission District
3,99.0,677207,The Castro
3,98.0,678556,Western Addition/NOPA
2,97.0,680288,Mission District
30,86.0,687430,Excelsior
4,99.0,691023,Mission District
4,97.0,699723,Potrero Hill
1,96.0,713877,Cole Valley
30,100.0,715543,Mission District
30,99.0,715754,Haight-Ashbury
4,96.0,719431,West Portal
3,95.0,720811,Richmond District
30,96.0,725300,The Castro
4,96.0,726657,Mission District
1,98.0,727866,Outer Sunset
30,95.0,727969,Noe Valley
30,97.0,728486,SoMa
