host_response_rate,review_scores_rating,id
100%,98.0,1629330.0
100%,98.0,1629740.0
82%,80.0,1633173.0
82%,89.0,1633225.0
100%,95.0,1633839.0
100%,99.0,1633933.0
100%,97.0,1641060.0
100%,100.0,1651228.0
100%,94.0,1655446.0
100%,98.0,1665516.0
100%,99.0,1667732.0
90%,99.0,1671260.0
100%,99.0,1673011.0
60%,80.0,1676460.0
100%,98.0,1684346.0
100%,98.0,1687330.0
100%,88.0,1696383.0
100%,91.0,1696666.0
100%,96.0,1699390.0
100%,100.0,1711075.0
100%,100.0,1721354.0
100%,98.0,1724819.0
100%,96.0,1725853.0
100%,88.0,1728497.0
100%,100.0,1733056.0
100%,98.0,1738415.0
100%,96.0,1740537.0
100%,99.0,1743201.0
100%,96.0,1747531.0
100%,97.0,1750093.0
100%,99.0,1752371.0
100%,96.0,1759087.0
100%,98.0,1767569.0
100%,99.0,1768239.0
100%,99.0,1769688.0
100%,93.0,1774026.0
100%,94.0,1777429.0
100%,94.0,1778650.0
100%,95.0,1785463.0
100%,100.0,1807012.0
100%,93.0,1807493.0
100%,92.0,1810486.0
88%,98.0,1815551.0
100%,96.0,1827177.0
100%,100.0,1827638.0
86%,99.0,1827653.0
100%,98.0,1830541.0
94%,95.0,1841832.0
100%,98.0,1844117.0
100%,98.0,1844877.0
100%,96.0,1847664.0
100%,99.0,1855096.0
100%,100.0,1861344.0
100%,93.0,1863106.0
100%,93.0,1863316.0
60%,93.0,1864545.0
100%,85.0,1865406.0
67%,98.0,1868880.0
100%,100.0,1881223.0
60%,88.0,1885057.0
100%,97.0,1886260.0
83%,99.0,1898486.0
100%,95.0,1907229.0
100%,94.0,1914841.0
100%,97.0,1920033.0
100%,97.0,1925206.0
80%,97.0,1925714.0
100%,96.0,1926253.0
100%,99.0,1931459.0
100%,92.0,1931763.0
100%,98.0,1931788.0
100%,99.0,1932019.0
100%,97.0,1935904.0
100%,95.0,1937575.0
100%,100.0,1940496.0
100%,99.0,1944564.0
100%,99.0,1945508.0
100%,95.0,1954263.0
100%,95.0,1954514.0
78%,96.0,1959880.0
93%,100.0,1960773.0
100%,99.0,1970257.0
100%,88.0,1970756.0
100%,98.0,1975404.0
100%,98.0,1978669.0
100%,100.0,1979461.0
0%,98.0,1984709.0
100%,97.0,1985338.0
100%,98.0,1989997.0
100%,98.0,1992217.0
100%,90.0,1992988.0
100%,95.0,1998111.0
100%,96.0,2001534.0
100%,94.0,2016198.0
100%,96.0,2020393.0
100%,100.0,2022751.0
100%,100.0,2023326.0
100%,99.0,2026910.0
100%,98.0,2042095.0
100%,96.0,2046634.0
60%,89.0,2046807.0
100%,94.0,2047469.0
100%,98.0,2049955.0
95%,98.0,2062696.0
100%,98.0,2063077.0
100%,90.0,2074270.0
100%,95.0,2074584.0
100%,96.0,2081536.0
100%,95.0,2088622.0
100%,94.0,2093695.0
100%,99.0,2096756.0
100%,95.0,2104437.0
100%,96.0,2105840.0
100%,96.0,2119773.0
100%,96.0,2123469.0
100%,97.0,2124182.0
100%,95.0,2126868.0
100%,98.0,2130640.0
100%,98.0,2134475.0
100%,92.0,2139562.0
100%,97.0,2140313.0
100%,99.0,2154122.0
91%,97.0,2160504.0
100%,95.0,2166428.0
100%,96.0,2172308.0
100%,99.0,2177440.0
100%,98.0,2178509.0
83%,80.0,2188233.0
83%,100.0,2188308.0
83%,100.0,2188507.0
100%,96.0,2188561.0
100%,92.0,2188959.0
100%,94.0,2188976.0
100%,91.0,2202505.0
100%,96.0,2203283.0
83%,80.0,2209353.0
100%,99.0,2209751.0
100%,98.0,2221057.0
100%,92.0,2223743.0
0%,88.0,2234256.0
100%,94.0,2236226.0
100%,89.0,2244652.0
100%,98.0,2254431.0
100%,89.0,2257205.0
100%,99.0,2263794.0
100%,95.0,2272343.0
100%,96.0,2274353.0
100%,98.0,2277754.0
100%,100.0,2279254.0
100%,99.0,2298930.0
100%,94.0,2299196.0
100%,97.0,2302408.0
100%,97.0,2305039.0
100%,90.0,2310518.0
100%,99.0,2310765.0
100%,97.0,2314849.0
100%,98.0,2315086.0
100%,95.0,2316478.0
100%,97.0,2326228.0
100%,100.0,2337552.0
100%,98.0,2349483.0
100%,98.0,2355859.0
100%,96.0,2356554.0
100%,97.0,2362619.0
60%,87.0,2366182.0
100%,100.0,2374267.0
100%,98.0,2374361.0
100%,97.0,2387068.0
75%,87.0,2391772.0
100%,97.0,2396847.0
100%,99.0,2397852.0
100%,99.0,2397858.0
100%,98.0,2400409.0
100%,92.0,2412158.0
100%,100.0,2420887.0
90%,100.0,2423948.0
100%,94.0,2432104.0
100%,99.0,2436213.0
100%,96.0,2455313.0
100%,93.0,2460904.0
100%,97.0,2465543.0
100%,99.0,2468125.0
100%,90.0,2477409.0
100%,100.0,2477787.0
100%,97.0,2478558.0
57%,98.0,2482884.0
100%,95.0,2483759.0
100%,97.0,2486953.0
100%,94.0,2488837.0
100%,97.0,2496086.0
100%,100.0,2496460.0
100%,100.0,2496719.0
100%,90.0,2500662.0
100%,97.0,2502368.0
100%,93.0,2502543.0
100%,98.0,2503408.0
100%,92.0,2509236.0
60%,90.0,2510224.0
100%,90.0,2516026.0
100%,98.0,2518781.0
100%,88.0,2521327.0
100%,82.0,2532756.0
100%,96.0,2538807.0
100%,97.0,2539953.0
100%,92.0,2550991.0
100%,97.0,2551994.0
100%,99.0,2557977.0
100%,88.0,2559297.0
60%,86.0,2564006.0
60%,87.0,2564140.0
100%,98.0,2578122.0
100%,98.0,2592518.0
96%,94.0,2611820.0
100%,94.0,2614717.0
100%,98.0,2620371.0
90%,95.0,2629833.0
100%,96.0,2635278.0
50%,88.0,2657854.0
100%,100.0,2658295.0
100%,98.0,2670951.0
100%,98.0,2677273.0
100%,98.0,2677288.0
100%,86.0,2683409.0
100%,98.0,2686530.0
100%,96.0,2694526.0
100%,98.0,2706776.0
90%,95.0,2710372.0
100%,99.0,2723005.0
92%,96.0,2736358.0
100%,97.0,2737894.0
100%,93.0,2738331.0
100%,98.0,2739477.0
100%,94.0,2742151.0
100%,96.0,2747383.0
100%,94.0,2770268.0
100%,94.0,2770561.0
100%,97.0,2771128.0
100%,92.0,2771688.0
100%,97.0,2783251.0
80%,100.0,2790637.0
100%,95.0,2802418.0
100%,99.0,2804417.0
50%,100.0,2816626.0
100%,96.0,2823227.0
60%,94.0,2825966.0
100%,95.0,2890120.0
100%,97.0,2925557.0
100%,98.0,2926901.0
100%,99.0,2927781.0
100%,98.0,2933105.0
100%,98.0,2933899.0
100%,97.0,2935400.0
100%,100.0,2937902.0
89%,99.0,2939849.0
100%,98.0,2942149.0
100%,95.0,2943327.0
100%,97.0,2944843.0
67%,99.0,2948159.0
100%,93.0,2949071.0
